46,"{'name': 'Canon EOS M50 Mark II Vlogger Kit Mirrorless Camera EF-M 15-45mm Lens', 'stars': '4.4', 'price': '69999', 'OriginalPrice': '74295', 'Quality': 'MP4', 'Rating': '808', 'Reviews': '88'}"
47,"{'name': 'NIKON D850 DSLR Camera Body Only', 'stars': '4.4', 'price': '214721', 'OriginalPrice': '234950', 'Quality': 'Full HD', 'Rating': '14', 'Reviews': '1'}"
48,"{'name': 'NIKON D750 DSLR Camera Body with Single Lens: 24-120mm VR Lens', 'stars': '4.4', 'price': '163754', 'OriginalPrice': '164950', 'Quality': 'Full HD', 'Rating': '124', 'Reviews': '33'}"
49,"{'name': 'FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 18-55mm Lens', 'stars': '4.4', 'price': '172000', 'OriginalPrice': '184999', 'Quality': '4K, Full HD', 'Rating': '16', 'Reviews': '3'}"
50,"{'name': 'NIKON Z5 Mirrorless Camera 24-70 mm', 'stars': '4.2', 'price': '156990', 'OriginalPrice': '156995', 'Quality': '4K UHD', 'Rating': '15', 'Reviews': '0'}"
51,"{'name': 'NIKON D850 DSLR Camera 24-120 mm VR Lens', 'stars': '4.4', 'price': '271950', 'OriginalPrice': nan, 'Quality': '4K at 30p+1080p at 120p+Time-Lapse', 'Rating': '14', 'Reviews': '1'}"
52,"{'name': 'NIKON Z FC Mirrorless Camera DSLR Camera with DX 16-50mm f/3.5-6.3 VR', 'stars': '5', 'price': '97995', 'OriginalPrice': nan, 'Quality': 'MOV, MP4', 'Rating': '2', 'Reviews': '1'}"
53,"{'name': 'POZUB New Arrival 3in1 Selfie Stick Stand With Dustproof Bag PZB-XT012 Travel Tripod Stand Flexible Ha...', 'stars': '4.1', 'price': '376', 'OriginalPrice': '396', 'Quality': 'Max Shutter Speed: 0', 'Rating': '70', 'Reviews': '5'}"
54,"{'name': 'FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 16-80mm Lens', 'stars': '4.4', 'price': '186000', 'OriginalPrice': '199999', 'Quality': '4K, Full HD', 'Rating': '16', 'Reviews': '3'}"
55,"{'name': 'Canon EOS 7D Mark II DSLR Camera (Body only)', 'stars': '4.1', 'price': '99999', 'OriginalPrice': '124995', 'Quality': '2 Years Canon India Warranty and Free Transit Insurance', 'Rating': '20', 'Reviews': '6'}"
56,"{'name': 'POZUB strong Tripod stand + Dustproof Bag with Clip |Tripod stand for camera||Gimbal for smartphone|mo...', 'stars': '3.1', 'price': '328', 'OriginalPrice': nan, 'Quality': 'Max Shutter Speed: NA', 'Rating': '8', 'Reviews': '1'}"
57,"{'name': 'SONY ILCE-7SM3/BQ IN5 Mirrorless Camera Mirrorless', 'stars': '4.2', 'price': '296990', 'OriginalPrice': '334990', 'Quality': '4K', 'Rating': '12', 'Reviews': '1'}"
58,"{'name': 'NIKON Z30 Mirrorless Camera Z DX 16 - 50 mm f/3.5 - 6.3 VR & Nikkor Z DX 50 - 250 mm f/4.5 - 6.3 VR Le...', 'stars': '3.3', 'price': '90999', 'OriginalPrice': '94495', 'Quality': '4K UHD', 'Rating': '4', 'Reviews': '0'}"
59,"{'name': 'NIKON Z30 Mirrorless Camera Z DX 16 - 50 mm f/3.5 - 6.3 VR Lens', 'stars': '3.3', 'price': '70999', 'OriginalPrice': '73495', 'Quality': '4K UHD', 'Rating': '4', 'Reviews': '0'}"
60,"{'name': 'SONY ILCE-7M4K/BQIN5 Mirrorless Camera Single Lens: 28-70 mm', 'stars': '4.2', 'price': '230990', 'OriginalPrice': '262490', 'Quality': '4K', 'Rating': '37', 'Reviews': '10'}"
61,"{'name': 'SONY ILCE-7M4/BQ IN5 Mirrorless Camera Body Only', 'stars': '4.2', 'price': '213490', 'OriginalPrice': '242490', 'Quality': '4K', 'Rating': '37', 'Reviews': '10'}"
62,"{'name': 'FUJIFILM X-T3 Mirrorless Camera Body with 16-80 Lens Kit', 'stars': '4.2', 'price': '157999', 'OriginalPrice': '169999', 'Quality': '4K (3840 x 2160) & FULL HD (1920 x 1080)', 'Rating': '5', 'Reviews': '0'}"
63,"{'name': 'FUJIFILM X-T3 Mirrorless Camera Body with 16-80 Lens Kit', 'stars': '4.2', 'price': '157999', 'OriginalPrice': '169999', 'Quality': '4K (3840 x 2160) & FULL HD (1920 x 1080)', 'Rating': '5', 'Reviews': '0'}"
64,"{'name': 'NIKON Z30 Mirrorless Camera Z DX 18 - 140 mm f/3.5 - 6.3 VR Lens', 'stars': '3.3', 'price': '98140', 'OriginalPrice': '112890', 'Quality': '4K UHD', 'Rating': '4', 'Reviews': '0'}"
65,"{'name': 'FUJIFILM X Series X-T4 Mirrorless Camera Body Only', 'stars': '4.4', 'price': '144000', 'OriginalPrice': '154999', 'Quality': '4K, Full HD', 'Rating': '16', 'Reviews': '3'}"
66,"{'name': 'POZUB Best Buy 3in1 Stand Selfie Stick With Dustproof Bag Travel Tripod Stand PZB-XT012 Flexible Handh...', 'stars': '3.5', 'price': '377', 'OriginalPrice': '397', 'Quality': 'Max Shutter Speed: 0', 'Rating': '11', 'Reviews': '2'}"
67,"{'name': 'NIKON Z 6 Mirrorless Camera Body Only', 'stars': '4.2', 'price': '135999', 'OriginalPrice': '136450', 'Quality': 'Full HD', 'Rating': '22', 'Reviews': '2'}"
68,"{'name': 'Canon EOS 6D Mark II DSLR Camera Body with Single Lens: EF24-105mm f/4L IS II USM', 'stars': '4.5', 'price': '172546', 'OriginalPrice': '196995', 'Quality': '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)', 'Rating': '44', 'Reviews': '2'}"
69,"{'name': 'NIKON Z 6 Mirrorless Camera Body + 24-70mm Lens', 'stars': '4.2', 'price': '177000', 'OriginalPrice': '177950', 'Quality': 'Full HD', 'Rating': '22', 'Reviews': '2'}"
70,"{'name': 'NIKON Z30 Mirrorless Camera Body only', 'stars': '3.3', 'price': '57999', 'OriginalPrice': '59895', 'Quality': '4K UHD', 'Rating': '4', 'Reviews': '0'}"
71,"{'name': 'NIKON Z 6 Mirrorless Camera Body with Mount Adapter FTZ', 'stars': '4.2', 'price': '147450', 'OriginalPrice': '167450', 'Quality': 'Full HD', 'Rating': '22', 'Reviews': '2'}"
72,"{'name': 'Canon EOS 5D Mark IV DSLR Camera Body with Single Lens:EF 24-105mm f/4L IS II USM Lens', 'stars': '3.8', 'price': '267040', 'OriginalPrice': '313995', 'Quality': '4K at 30p + 4K Frame Grab', 'Rating': '31', 'Reviews': '8'}"
73,"{'name': 'NIKON D5600 DSLR Camera Body with Dual Lens: AF-P DX Nikkor 18 - 55 MM F/3.5-5.6G VR and 70-300 MM F/4...', 'stars': '4.6', 'price': '65990', 'OriginalPrice': '66750', 'Quality': '1080p recording upto 60p', 'Rating': '10811', 'Reviews': '1725'}"
74,"{'name': 'NIKON Z5 Mirrorless Camera Z 5 Body', 'stars': '5', 'price': '105995', 'OriginalPrice': '111995', 'Quality': '4K UHD', 'Rating': '5', 'Reviews': '1'}"
75,"{'name': 'Canon EOS 80D DSLR Camera Body with 18-135 mm Lens', 'stars': '4.5', 'price': '92999', 'OriginalPrice': '111995', 'Quality': '1080p at 60p + Time-Lapse', 'Rating': '747', 'Reviews': '118'}"
76,"{'name': 'NIKON Z6 II Body Mirrorless Camera with 64GB SD Card', 'stars': '4', 'price': '164995', 'OriginalPrice': nan, 'Quality': 'H.264/MPEG-4 Advanced Video Coding', 'Rating': '11', 'Reviews': '1'}"
